id	title	identifiers	flags	source_snippets
goetzmann0325	Republic of China Third Lottery Bond (第叁次有獎公債)	No. 0675928		notes:"No. 0675928,"
goetzmann0326	真裕地產股份有限公司 (Zhenyu Real Estate Co., Ltd.) Share Certificate, China, 1944	No. 012430		notes:"No. 012430,"
goetzmann0328	Citrus Belt Land Company Stock Certificate, California, 1911	No. 426		notes:"No. 426,"
goetzmann0329	Clădirea Românească (Romanian Building Society) Share Certificate	No. 1095201-1095250		notes:"Nos. 1095201-1095250"
goetzmann0331	Compagnie d'Inguaran (Mexique), Part de Bénéfices	No. 07,399		notes:"No. 07,399,"
goetzmann0332	Compagnie Occidentale de Madagascar Share, Paris, 1910	No. 16,102		notes:"No. 16,102,"
goetzmann0333	Compañía Salitrera de Tarapacá y Antofagasta share certificate, Santiago, 1937	No. C30095 | No. 2094	year-like:No. 2094	notes:"No. C30095," · description:"No. 2094"
goetzmann0334	Companhia de Mossamedes Share Warrant to Bearer for Five Shares	No. 2272126-2272130		notes:"Nos. 2272126-2272130"
goetzmann0335	Compañía Anónima Minas de Guanandi Share	No. 2980 | No. 9239		notes:"No. 2980," · description:"No. 9239"
goetzmann0336	Madrid-Zaragoza-Alicante Railway Company Share	No. 233055		notes:"No. 233055,"
goetzmann0337	Compañía La Petrolífera Nacional Bearer Share, San Sebastián, 1928	No. 17341		notes:"No. 17341,"
goetzmann0338	Compañía Petrolera Mexicana "Faros de Aztlán" Share Certificate	No. 0245 | No. 14		notes:"No. 0245," · description:"No. 14,"
goetzmann0339	Compañía de las Hulleras de Ujo-Mieres Share Certificate	No. 370241-370245 | No. 72049		notes:"Nos. 370241-370245" · notes:"No. 72049,"
goetzmann0343	Société des Comptoirs d'Importation & d'Exportation "Congo-Cameroun" Share	No. 073774		notes:"No. 073774,"
goetzmann0344	Conseil de la Dette Publique Répartie de l'Ancien Empire Ottoman, Provisional Receipt for the Ottoman 5% Loan of 1914, Paris, 1933	No. 0,288,837 | No. 1 | Loan of 1914		notes:"No. 0,288,837," · description:"numbered 1" · description:"loan of 1914"
goetzmann0345	State of South Carolina Consolidation Bond	No. DP 1602		notes:"No. DP 1602,"
goetzmann0347	Dutch Coupons for American Land Shares, C.J.M. De Wolf, Antwerp	No. 827		notes:"No. 827,"
goetzmann0348	Crédit Foncier Agricole du Maroc Share	No. 8497		notes:"No. 8497,"
goetzmann0349	Connecticut Comptroller's Office Interest Certificate	No. 13,729		notes:"No. 13,729,"
goetzmann0351	Dale Land & Cattle Co. Stock Certificate	No. 8		notes:"No. 8,"
